timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701842603105,7340,HomePage,200,OK,Thread Group 1-20,text,true,,370600,116,70,70,https://www.aarong.com/,1729,0,835
1701842603342,7172,HomePage,200,OK,Thread Group 1-37,text,true,,370600,116,70,70,https://www.aarong.com/,1312,0,585
1701842603204,7498,HomePage,200,OK,Thread Group 1-27,text,true,,370600,116,70,70,https://www.aarong.com/,1496,0,750
1701842603288,7533,HomePage,200,OK,Thread Group 1-33,text,true,,370600,116,70,70,https://www.aarong.com/,1546,0,653
1701842603428,7505,HomePage,200,OK,Thread Group 1-43,text,true,,370600,116,70,70,https://www.aarong.com/,1279,0,491
1701842603664,7308,HomePage,200,OK,Thread Group 1-60,text,true,,370600,116,70,70,https://www.aarong.com/,1064,0,275
1701842602986,8062,HomePage,200,OK,Thread Group 1-8,text,true,,370600,116,70,70,https://www.aarong.com/,1192,0,967
1701842603453,8176,HomePage,200,OK,Thread Group 1-45,text,true,,370600,116,70,70,https://www.aarong.com/,1421,0,486
1701842603789,8102,HomePage,200,OK,Thread Group 1-68,text,true,,370600,116,70,70,https://www.aarong.com/,1928,0,177
1701842603188,8914,HomePage,200,OK,Thread Group 1-26,text,true,,370600,116,70,70,https://www.aarong.com/,1286,0,731
1701842603329,8861,HomePage,200,OK,Thread Group 1-36,text,true,,370600,116,70,70,https://www.aarong.com/,1325,0,610
1701842603762,8434,HomePage,200,OK,Thread Group 1-67,text,true,,370600,116,70,70,https://www.aarong.com/,1282,0,227
1701842603048,9166,HomePage,200,OK,Thread Group 1-16,text,true,,370600,116,70,70,https://www.aarong.com/,1998,0,894
1701842603258,9040,HomePage,200,OK,Thread Group 1-31,text,true,,370600,116,70,70,https://www.aarong.com/,851,0,681
1701842603689,8618,HomePage,200,OK,Thread Group 1-61,text,true,,370600,116,70,70,https://www.aarong.com/,821,0,230
1701842603691,8675,HomePage,200,OK,Thread Group 1-62,text,true,,370600,116,70,70,https://www.aarong.com/,413,0,228
1701842607568,4970,Taaga,200,OK,Thread Group 1-65,text,true,,498905,127,70,70,https://www.aarong.com/brand/taaga,556,0,0
1701842603553,8990,HomePage,200,OK,Thread Group 1-52,text,true,,370600,116,70,70,https://www.aarong.com/,1007,0,387
1701842603357,9188,HomePage,200,OK,Thread Group 1-38,text,true,,370600,116,70,70,https://www.aarong.com/,1348,0,595
1701842602994,9560,HomePage,200,OK,Thread Group 1-12,text,true,,370600,116,70,70,https://www.aarong.com/,1757,0,945
1701842602985,9604,HomePage,200,OK,Thread Group 1-3,text,true,,370600,116,70,70,https://www.aarong.com/,1085,0,952
1701842603636,8956,HomePage,200,OK,Thread Group 1-58,text,true,,370600,116,70,70,https://www.aarong.com/,1033,0,304
1701842603413,9467,HomePage,200,OK,Thread Group 1-42,text,true,,370600,116,70,70,https://www.aarong.com/,1611,0,539
1701842603118,9848,HomePage,200,OK,Thread Group 1-21,text,true,,370600,116,70,70,https://www.aarong.com/,966,0,802
1701842602987,10077,HomePage,200,OK,Thread Group 1-9,text,true,,370600,116,70,70,https://www.aarong.com/,1693,0,966
1701842603299,9851,HomePage,200,OK,Thread Group 1-34,text,true,,370600,116,70,70,https://www.aarong.com/,1493,0,642
1701842603217,9938,HomePage,200,OK,Thread Group 1-28,text,true,,370600,116,70,70,https://www.aarong.com/,1530,0,702
1701842603581,10181,HomePage,200,OK,Thread Group 1-54,text,true,,370600,116,70,70,https://www.aarong.com/,1005,0,374
1701842603752,10071,HomePage,200,OK,Thread Group 1-66,text,true,,370600,116,70,70,https://www.aarong.com/,1416,0,237
1701842603006,10961,HomePage,200,OK,Thread Group 1-13,text,true,,370600,116,70,70,https://www.aarong.com/,1775,0,933
1701842603440,10539,HomePage,200,OK,Thread Group 1-44,text,true,,370600,116,70,70,https://www.aarong.com/,1306,0,512
1701842609932,4183,Taaga,200,OK,Thread Group 1-1,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,479,0,0
1701842602986,11348,HomePage,200,OK,Thread Group 1-6,text,true,,370600,116,70,70,https://www.aarong.com/,1990,0,933
1701842608310,6216,Taaga,200,OK,Thread Group 1-56,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,503,0,0
1701842610400,4236,Taaga,200,OK,Thread Group 1-39,text,true,,498905,127,70,70,https://www.aarong.com/brand/taaga,511,0,0
1701842603518,11393,HomePage,200,OK,Thread Group 1-49,text,true,,370600,116,70,70,https://www.aarong.com/,578,0,421
1701842603020,11962,HomePage,200,OK,Thread Group 1-14,text,true,,370600,116,70,70,https://www.aarong.com/,1757,0,918
1701842603825,11178,HomePage,200,OK,Thread Group 1-70,text,true,,370600,116,70,70,https://www.aarong.com/,1237,0,355
1701842608860,6220,Taaga,200,OK,Thread Group 1-10,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,602,0,0
1701842609571,5694,Taaga,200,OK,Thread Group 1-55,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,560,0,0
1701842609104,6205,Taaga,200,OK,Thread Group 1-5,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,612,0,0
1701842603385,11953,HomePage,200,OK,Thread Group 1-40,text,true,,370600,116,70,70,https://www.aarong.com/,1239,0,569
1701842603573,11858,HomePage,200,OK,Thread Group 1-53,text,true,,370600,116,70,70,https://www.aarong.com/,498,0,347
1701842609409,6122,Taaga,200,OK,Thread Group 1-18,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,577,0,0
1701842603244,12675,HomePage,200,OK,Thread Group 1-30,text,true,,370600,116,70,70,https://www.aarong.com/,835,0,676
1701842610934,5340,Taaga,200,OK,Thread Group 1-43,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,601,0,0
1701842603273,13453,HomePage,200,OK,Thread Group 1-32,text,true,,370600,116,70,70,https://www.aarong.com/,1267,0,681
1701842608505,8298,Taaga,200,OK,Thread Group 1-2,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,571,0,0
1701842608310,8604,Taaga,200,OK,Thread Group 1-22,text,true,,498904,127,70,70,https://www.aarong.com/brand/taaga,506,0,0
